Company_ID,CollarID,Fromdepth,Todepth,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,
141,1399613,97,98.0,Ng,Gravel,gravel,101,
141,993857,63,64.0,Ncl,Clay loams and Clay,mud,101,
141,993857,63,64.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,23,24.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,23,24.0,Ncl,Clay loams and Clay,mud,101,
141,993860,48,49.0,Ncl,Clay loams and Clay,mud,101,
141,993860,48,49.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,19,20.0,Nnd,Sand,bioclastic,101,
141,1399616,19,20.0,Nnd,Sand,bioclastic,101,
141,1399614,3,4.0,Nnd,Sand,bioclastic,101,
141,1399614,3,4.0,Nnd,Sand,bioclastic,101,
141,1399616,77,78.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,1399616,77,78.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,1399615,138,139.0,Shcc,Carbonaceous shale,mudstone,101,
141,993859,67,68.0,Ncl,Clay loams and Clay,mud,101,
141,993859,67,68.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,138,139.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399615,117,118.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,58,59.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,58,59.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,26,27.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,26,27.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,102,103.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,1399616,102,103.0,CalcSilDol,Dolomite with calcite silcified,dolostone,100,
141,1399615,117,118.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,95,96.0,Ng,Gravel,gravel,101,
141,1399614,66,67.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,66,67.0,Ncl,Clay loams and Clay,mud,101,
141,993860,180,181.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,180,181.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399613,95,96.0,Ng,Gravel,gravel,101,
141,993858,20,21.0,Ncl,Clay loams and Clay,mud,101,
141,993858,20,21.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,16,17.0,Nnd,Sand,bioclastic,101,
141,1399616,16,17.0,Nnd,Sand,bioclastic,101,
141,993860,84,85.0,Ncl,Clay loams and Clay,mud,101,
141,993860,84,85.0,Ncl,Clay loams and Clay,mud,101,
141,993861,66,67.0,Ng,Gravel,gravel,101,
141,993861,66,67.0,Ng,Gravel,gravel,101,
141,993860,38,39.0,Ncl,Clay loams and Clay,mud,101,
141,993860,38,39.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,121,122.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,121,122.0,Ncl,Clay loams and Clay,mud,101,
141,993857,177,178.0,Sd,Dolomite,dolostone,100,
141,993859,133,134.0,Sd,Dolomite,dolostone,100,
141,993859,133,134.0,Sd,Dolomite,dolostone,100,
141,993861,73,74.0,Ng,Gravel,gravel,101,
141,993861,73,74.0,Ng,Gravel,gravel,101,
141,1399613,30,31.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,30,31.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,54,55.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,54,55.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,50,51.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,50,51.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,49,50.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,49,50.0,Ncl,Clay loams and Clay,mud,101,
141,993858,74,75.0,Ncl,Clay loams and Clay,mud,101,
141,993858,74,75.0,Ncl,Clay loams and Clay,mud,101,
141,993860,6,7.0,Nnd,Sand,bioclastic,101,
141,993860,6,7.0,Nnd,Sand,bioclastic,101,
141,1399613,70,71.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,70,71.0,Ncl,Clay loams and Clay,mud,101,
141,993857,177,178.0,Sd,Dolomite,dolostone,100,
141,993860,22,23.0,Nnd,Sand,bioclastic,101,
141,993860,22,23.0,Nnd,Sand,bioclastic,101,
141,993858,135,136.0,Sd,Dolomite,dolostone,100,
141,993858,135,136.0,Sd,Dolomite,dolostone,100,
141,993857,57,58.0,Ncl,Clay loams and Clay,mud,101,
141,993859,45,46.0,Ncl,Clay loams and Clay,mud,101,
141,993859,45,46.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,78,79.0,Ncl,Clay loams and Clay,mud,101,
141,1399615,78,79.0,Ncl,Clay loams and Clay,mud,101,
141,993859,119,120.0,Ssl,Siltstone/Argillite,mudstone,101,
141,993859,119,120.0,Ssl,Siltstone/Argillite,mudstone,101,
141,993857,68,69.0,Ncl,Clay loams and Clay,mud,101,
141,993857,68,69.0,Ncl,Clay loams and Clay,mud,101,
141,993858,147,148.0,Sd,Dolomite,dolostone,100,
141,993858,147,148.0,Sd,Dolomite,dolostone,100,
141,993859,69,70.0,Ncl,Clay loams and Clay,mud,101,
