Company_ID,CollarID,Fromdepth,Todepth,Attribute_column,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,Unnamed: 9,detailed_lithology,lithology_subgroup,lithology_group
2705,124993,56.0,58.0,Rock1,OOO,Unknown,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
2738,150937,1159.0,1161.13,Maj Lithcode,SCS,VFG SILICEOUS SEDIMENT radiolarite/diatomite etc,sediment,101,,iron_mud,sediment_iron,sediment
2738,150937,1165.0,1165.86,Maj Lithcode,SCS,VFG SILICEOUS SEDIMENT radiolarite/diatomite etc,sediment,101,,iron_sand,sediment_iron,sediment
2738,150937,1167.0,1168.97,Maj Lithcode,SCS,VFG SILICEOUS SEDIMENT radiolarite/diatomite etc,sediment,101,,hybrid_sediment,sediment,sediment
2738,150937,1181.0,1182.48,Maj Lithcode,SCS,VFG SILICEOUS SEDIMENT radiolarite/diatomite etc,sediment,101,,phosphate_gravel,sediment_phosphate,sediment
369,191017,10.0,11.0,LITH1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,191017,11.0,12.0,LITH1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,191017,12.0,13.0,LITH1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,191017,13.0,14.0,LITH1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,191017,14.0,15.0,LITH1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,191017,15.0,16.0,LITH1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,glassy_rock,glassy_rock,unclassified_rock
369,191017,16.0,17.0,LITH1,LSP,UNDIFFERENTIATED SAPROLITE  SAME AS BEDROCK,unclassified_rock,101,,unclassified rock,unclassified_rock,unclassified_rock
