id,fuzzywuzzy_terms,detailed_lithology,lithology_subgroup,lithology_group,bonus,definition,sourcenote,exactmatch1,note,historynote
624,Sandstone Silicate_sandstone Arenite Silicate_arenite Quartz_arenite Subfeldspathic_arenite Feldspathic_arenite Sublithic_arenite Lithic_arenite Wacke Silicate_wacke Quartz_wacke Feldspathic_wacke Lithic_wacke Metasandstone Arkose Psammite ,sandstone,clastic,sedimentary_rock,1.01,,,,,
625,Ironstone Goethite_stone Hematite_stone Limonite_stone Siderite_stone ,ironstone,ironstone,sedimentary_rock,1.01,,,,,
626,Phosphate ,phosphate,phosphate,sedimentary_rock,1,,,,,
627,Diatomite ,diatomite,siliceous,sedimentary_rock,1,,,,,
628,Spiculite ,spiculite,siliciclastic,sedimentary_rock,1,,,,,
629,Aeolinite ,aeolinite,aeolian_deposit,surficial_rock,1,,,,,
630,Herbicide ,herbicide,artificial_man_made_ground,surficial_rock,1,,,,,
631,Pesticide ,pesticide,artificial_man_made_ground,surficial_rock,1,,,,,
632,Mud_Flats ,mud_flats,coastal_deposit,surficial_rock,1,,,,,
633,Colluvium Transported Colluvial_Gravel/Sand Colluvial_Gravel Colluvial_Sand Colluvial_Cover Transported_Ironstone Colluvial_Pebbles ,colluvium,natural_superficial_ground,surficial_rock,1.01,,,,,
634,Gray_Dune ,gray_dune,natural_superficial_ground,surficial_rock,1,,,,,
635,Peat_Flow ,peat_flow,organic_deposit,surficial_rock,1,,,,,
636,Palaeosol Seat_earth ,palaeosol,residual_deposit,surficial_rock,1,,,,,
637,Saprolite Weathered_Rock_Saprolite ,saprolite,residual_deposit,surficial_rock,1.01,,,,,
638,Saprolith ,saprolith,residual_deposit,surficial_rock,1,,,,,
639,Dendrites ,dendrites,fillings,texture_structure,1,,,,,
640,Obsidian ,obsidian,felsic_glassy,igneous_rock,1,,,,,
641,Dacitoid ,dacitoid,intermediate_fine_grained_crystalline,igneous_rock,1,,,,,
642,Beresite ,beresite,metasomatic,metamorphic_rock,1,,,,,
