"id","dhgeologyid","attributecolumn","attributevalue","modifieddate","modifiedby","mrtdetailid","id-2","collarid","fromdepth","todepth","units","accuracy","modifieddate-2","modifiedby-2","mrtfileid"
"223138739",29938450,"Text1","FO",NULL,NULL,1316898,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138738",29938450,"Col_1","OL",NULL,NULL,1316896,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138737",29938450,"Colour_Int","m",NULL,NULL,1316895,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138736",29938450,"Weathering_Profile","US",NULL,NULL,1316893,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138735",29938450,"Weathering_Oxide","MW",NULL,NULL,1316892,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138734",29938450,"Lith3","-",NULL,NULL,1316891,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138733",29938450,"Lith2","-",NULL,NULL,1316890,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138732",29938450,"Lith1","AU",NULL,NULL,1316889,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"223138731",29938450,"DataSet","SSTONE",NULL,NULL,1316885,29938450,1805586,"70","71.03",NULL,NULL,NULL,NULL,56116
"32263096",4398023,"Texture","mas",NULL,NULL,262822,4398023,323391,"121","124",NULL,NULL,NULL,NULL,11198
"32263095",4398023,"Mineralisation1","qtz",NULL,NULL,262811,4398023,323391,"121","124",NULL,NULL,NULL,NULL,11198
"32263094",4398023,"Grain Size","fg",NULL,NULL,262810,4398023,323391,"121","124",NULL,NULL,NULL,NULL,11198
"32263093",4398023,"Fe Est. Grade","L",NULL,NULL,262809,4398023,323391,"121","124",NULL,NULL,NULL,NULL,11198
"32263092",4398023,"Fe1","GHM",NULL,NULL,262807,4398023,323391,"121","124",NULL,NULL,NULL,NULL,11198
"32263091",4398023,"Lithology2","Ssh",NULL,NULL,262806,4398023,323391,"121","124",NULL,NULL,NULL,NULL,11198
"32263090",4398023,"Lithology1","Sif",NULL,NULL,262805,4398023,323391,"121","124",NULL,NULL,NULL,NULL,11198
"32263089",4398023,"Regolith","Lsf",NULL,NULL,262804,4398023,323391,"121","124",NULL,NULL,NULL,NULL,11198
"32263088",4398023,"Weathering Intensity","M",NULL,NULL,262803,4398023,323391,"121","124",NULL,NULL,NULL,NULL,11198
"32263087",4398023,"Colour","brrd",NULL,NULL,262802,4398023,323391,"121","124",NULL,NULL,NULL,NULL,11198
"86512999",11474263,"Comments","kaolinitic shale",NULL,NULL,511786,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
"86512998",11474263,"H2O","d",NULL,NULL,511785,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
"86512997",11474263,"SQ","g",NULL,NULL,511784,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
"86512996",11474263,"Texture","bnd",NULL,NULL,511779,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
"86512995",11474263,"Mineralisation3","hem",NULL,NULL,511777,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
